dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
ItalyPowerDemand,ablation-gaf-intensity-only,gaf,logreg,1,0.5811467444120505,6,0.34526370000094175,0.02097350000985898,0.001561500015668571,0.46826934814453125,67,1029,24,2,
ItalyPowerDemand,ablation-gaf-intensity-only,gaf,logreg,2,0.5811467444120505,6,0.3454036999901291,0.01463229997898452,0.0013066999963484704,0.46826934814453125,67,1029,24,2,
ItalyPowerDemand,ablation-gaf-texture-only,gaf,logreg,0,0.7230320699708455,268,4.878320200019516,0.023088399990228936,0.005897800001548603,4.61558723449707,67,1029,24,2,
ItalyPowerDemand,ablation-gaf-texture-only,gaf,logreg,1,0.7230320699708455,268,4.979469200014137,0.025256499997340143,0.006448600004659966,4.6136980056762695,67,1029,24,2,
ItalyPowerDemand,ablation-gaf-texture-only,gaf,logreg,2,0.7230320699708455,268,5.162041500007035,0.023222099989652634,0.005568100023083389,4.613741874694824,67,1029,24,2,
Lightning2,baseline-1nn-euclidean,raw,knn1,0,0.7540983606557377,637,0.0007203000131994486,0.0013934000162407756,0.008721599995624274,0.9459762573242188,60,61,637,2,
Lightning2,baseline-1nn-euclidean,raw,knn1,1,0.7540983606557377,637,0.0011537999962456524,0.001385699986713007,0.007168500014813617,0.9459762573242188,60,61,637,2,
Lightning2,baseline-1nn-euclidean,raw,knn1,2,0.7540983606557377,637,0.0006939000159036368,0.0023902000102680176,0.01108840000233613,0.9459762573242188,60,61,637,2,
Lightning2,baseline-raw-logreg,raw,logreg,0,0.7213114754098361,637,0.0012503000034485012,0.04719250000198372,0.0025317999825347215,1.269810676574707,60,61,637,2,
Lightning2,baseline-raw-logreg,raw,logreg,1,0.7213114754098361,637,0.0011824999819509685,0.04866739999852143,0.002639700018335134,1.2704038619995117,60,61,637,2,
Lightning2,baseline-raw-logreg,raw,logreg,2,0.7213114754098361,637,0.001194899989059195,0.047120200004428625,0.0017927000008057803,1.2707319259643555,60,61,637,2,
Lightning2,gasf-features,gaf,logreg,0,0.6885245901639344,662,152.63088589999825,0.06370440000318922,0.0030678999901283532,178.21959781646729,60,61,637,2,
Lightning2,gasf-features,gaf,logreg,1,0.6885245901639344,662,152.50323490001028,0.07612569999764673,0.002891400014050305,178.2200698852539,60,61,637,2,
Lightning2,gasf-features,gaf,logreg,2,0.6885245901639344,662,151.58484339999268,0.1454251000250224,0.043359899980714545,178.21693801879883,60,61,637,2,
Lightning2,gadf-features,gadf,logreg,0,0.6065573770491803,662,158.67081910002162,0.08536060000187717,0.002993300004163757,178.21913242340088,60,61,637,2,
Lightning2,gadf-features,gadf,logreg,1,0.6065573770491803,662,157.18158520001452,0.14163699999335222,0.004274700011592358,178.21645069122314,60,61,637,2,
Lightning2,gadf-features,gadf,logreg,2,0.6065573770491803,662,158.453955999983,0.10011719999602064,0.0028837999852839857,178.21685028076172,60,61,637,2,
Lightning2,mtf-features,mtf,logreg,0,0.6229508196721312,662,169.72938450000947,0.07743579999078065,0.0033636000007390976,178.21651458740234,60,61,637,2,
Lightning2,mtf-features,mtf,logreg,1,0.6229508196721312,662,170.61762560001807,0.12338849998195656,0.0032229000062216073,178.21395778656006,60,61,637,2,
Lightning2,mtf-features,mtf,logreg,2,0.6229508196721312,662,225.1544868000201,0.24006969999754801,0.003207299974747002,178.21712684631348,60,61,637,2,
Lightning2,rp-features,rp,logreg,0,0.7540983606557377,662,217.64444910001475,0.10429350001504645,0.014177799981553108,178.21830463409424,60,61,637,2,
Lightning2,rp-features,rp,logreg,1,0.7540983606557377,662,217.03735649998998,0.08329919999232516,0.0032746999931987375,178.21859169006348,60,61,637,2,
Lightning2,rp-features,rp,logreg,2,0.7540983606557377,662,223.67982029999257,0.08728890001657419,0.0028612999885808676,178.21689414978027,60,61,637,2,
Lightning2,ablation-gaf-intensity-only,gaf,logreg,0,0.6229508196721312,6,4.323192200012272,0.025810100021772087,0.0023163000005297363,15.789871215820312,60,61,637,2,
Lightning2,ablation-gaf-intensity-only,gaf,logreg,1,0.6229508196721312,6,4.342785000015283,0.02500799999688752,0.0035275999980513006,15.789871215820312,60,61,637,2,
Lightning2,ablation-gaf-intensity-only,gaf,logreg,2,0.6229508196721312,6,3.531540900003165,0.02236180001636967,0.002337100013392046,15.789871215820312,60,61,637,2,
Lightning2,ablation-gaf-texture-only,gaf,logreg,0,0.5901639344262295,268,47.656213300011586,0.05408639999222942,0.003923200012650341,39.319576263427734,60,61,637,2,
Lightning2,ablation-gaf-texture-only,gaf,logreg,1,0.5901639344262295,268,46.81829049999942,0.06083219998981804,0.003792200004681945,39.3193998336792,60,61,637,2,
Lightning2,ablation-gaf-texture-only,gaf,logreg,2,0.5901639344262295,268,47.31610699999146,0.09300890000304207,0.005408700002590194,39.31935501098633,60,61,637,2,
Lightning7,baseline-1nn-euclidean,raw,knn1,0,0.5753424657534246,319,0.0029240000003483146,0.0034167999983765185,0.2309153999958653,0.5899658203125,70,73,319,7,
Lightning7,baseline-1nn-euclidean,raw,knn1,1,0.5753424657534246,319,0.0012398000108078122,0.0028272000199649483,0.11776749999262393,0.5899658203125,70,73,319,7,
Lightning7,baseline-1nn-euclidean,raw,knn1,2,0.5753424657534246,319,0.0011692999978549778,0.009691699990071356,0.22998390000429936,0.5899658203125,70,73,319,7,
Lightning7,baseline-raw-logreg,raw,logreg,0,0.6712328767123288,319,0.0013380000018514693,0.21929420001106337,0.0026249999937135726,1.2855005264282227,70,73,319,7,
Lightning7,baseline-raw-logreg,raw,logreg,1,0.6712328767123288,319,0.0010155000200029463,0.183585699996911,0.002760100003797561,1.2851858139038086,70,73,319,7,
Lightning7,baseline-raw-logreg,raw,logreg,2,0.6712328767123288,319,0.0009919000149238855,0.17973820000770502,0.0027357999933883548,1.2848711013793945,70,73,319,7,
Lightning7,gasf-features,gaf,logreg,0,0.5616438356164384,662,68.84152280000853,0.17410440000821836,0.00608939997619018,45.392762184143066,70,73,319,7,
Lightning7,gasf-features,gaf,logreg,1,0.5616438356164384,662,67.17946669997764,0.14429170000948943,0.0027649999829009175,45.39526653289795,70,73,319,7,
Lightning7,gasf-features,gaf,logreg,2,0.5616438356164384,662,68.85024709999561,0.10805410001194105,0.0031639999942854047,45.395657539367676,70,73,319,7,
Lightning7,gadf-features,gadf,logreg,0,0.4794520547945205,662,58.62942730000941,0.13850349999847822,0.0017530999903101474,45.395371437072754,70,73,319,7,
Lightning7,gadf-features,gadf,logreg,1,0.4794520547945205,662,49.72115289999056,0.1488019999815151,0.002942200022516772,45.392762184143066,70,73,319,7,
Lightning7,gadf-features,gadf,logreg,2,0.4794520547945205,662,50.641808399988804,0.16234239999903366,0.0037705000140704215,45.394776344299316,70,73,319,7,
Lightning7,mtf-features,mtf,logreg,0,0.3972602739726027,662,50.914363099989714,0.14040730000124313,0.0027974999975413084,45.39569282531738,70,73,319,7,
Lightning7,mtf-features,mtf,logreg,1,0.3972602739726027,662,50.51017240001238,0.7686681000050157,0.0403189999924507,45.4029655456543,70,73,319,7,
Lightning7,mtf-features,mtf,logreg,2,0.3972602739726027,662,70.4996841000102,0.46070419999887235,0.004263899987563491,45.39565372467041,70,73,319,7,
Lightning7,rp-features,rp,logreg,0,0.4520547945205479,662,68.78219080000417,0.14319410000462085,0.003429599979426712,45.395249366760254,70,73,319,7,
Lightning7,rp-features,rp,logreg,1,0.4520547945205479,662,73.00384980000672,0.13016319999587722,0.002965299994684756,45.39529323577881,70,73,319,7,
Lightning7,rp-features,rp,logreg,2,0.4520547945205479,662,65.0153228000272,0.128031700005522,0.0037378999986685812,45.39643669128418,70,73,319,7,
Lightning7,ablation-gaf-intensity-only,gaf,logreg,0,0.4657534246575342,6,0.8022338000009768,0.051793199992971495,0.0023166000028140843,4.07647705078125,70,73,319,7,
Lightning7,ablation-gaf-intensity-only,gaf,logreg,1,0.4657534246575342,6,0.6411935999931302,0.04914509999798611,0.006612099998164922,4.07647705078125,70,73,319,7,
Lightning7,ablation-gaf-intensity-only,gaf,logreg,2,0.4657534246575342,6,0.5811086999892723,0.07943000001250766,0.00231719997827895,4.07647705078125,70,73,319,7,
Lightning7,ablation-gaf-texture-only,gaf,logreg,0,0.4657534246575342,268,11.04900080000516,0.13888330000918359,0.003127100004348904,10.220449447631836,70,73,319,7,
Lightning7,ablation-gaf-texture-only,gaf,logreg,1,0.4657534246575342,268,9.599208600004204,0.19680920001701452,0.0025971000140998513,10.220359802246094,70,73,319,7,
Lightning7,ablation-gaf-texture-only,gaf,logreg,2,0.4657534246575342,268,10.413175199995749,0.1823199999926146,0.003509800008032471,10.22036075592041,70,73,319,7,
Meat,baseline-1nn-euclidean,raw,knn1,0,0.9333333333333333,448,0.0015107000072021037,0.004196599998977035,0.3570144000113942,0.6798858642578125,60,60,448,3,
Meat,baseline-1nn-euclidean,raw,knn1,1,0.9333333333333333,448,0.0012660999782383442,0.003823699982604012,0.31546079998952337,0.6798858642578125,60,60,448,3,
Meat,baseline-1nn-euclidean,raw,knn1,2,0.9333333333333333,448,0.0012302999966777861,0.003914699977030978,0.23949690000154078,0.6798858642578125,60,60,448,3,
Meat,baseline-raw-logreg,raw,logreg,0,0.9333333333333333,448,0.000891500007128343,0.15310699999099597,0.0038250999932643026,1.0937471389770508,60,60,448,3,
Meat,baseline-raw-logreg,raw,logreg,1,0.9333333333333333,448,0.0011777000036090612,0.08783519998542033,0.002663299994310364,1.0937471389770508,60,60,448,3,
Meat,baseline-raw-logreg,raw,logreg,2,0.9333333333333333,448,0.0012605999945662916,0.10280669998610392,0.002915499993832782,1.0937471389770508,60,60,448,3,
Meat,gasf-features,gaf,logreg,0,0.85,662,83.47410479999962,0.046337900013895705,0.0031916000007186085,88.53098583221436,60,60,448,3,
Meat,gasf-features,gaf,logreg,1,0.85,662,82.6339707999723,0.04978770000161603,0.0027464999875519425,88.53504371643066,60,60,448,3,
Meat,gasf-features,gaf,logreg,2,0.85,662,81.85679309998523,0.04655829997500405,0.0022139999782666564,88.5335578918457,60,60,448,3,
Meat,gadf-features,gadf,logreg,0,0.8833333333333333,662,81.52982360002352,0.06008750002365559,0.0020998999825678766,88.53327751159668,60,60,448,3,
